model,threshold,auc,logloss,accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,backend,fit_seconds
HistGradientBoosting,0.42,0.7191136735615594,0.49343874205445426,0.7575054300079841,0.4881355070067906,0.2290170154881512,0.31176446700507615,0.20707262111428976,245515,20126,64613,19193,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.43,0.7191136735615594,0.49343874205445426,0.7588418272298804,0.4933844406587166,0.2073479225831086,0.2919866247710584,0.19881517948131724,247798,17843,66429,17377,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.44,0.7191136735615594,0.49343874205445426,0.7599979396017136,0.4990216499400366,0.1886738419683555,0.2738198316766529,0.1916944816743398,249767,15874,67994,15812,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.45,0.7191136735615594,0.49343874205445426,0.7611855302807007,0.5064151492021953,0.1662530129107701,0.2503256407262013,0.18252671883920413,252061,13580,69873,13933,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.46,0.7191136735615594,0.49343874205445426,0.7624704175454361,0.5174742896984487,0.14169629859437272,0.2224740993311726,0.17239506678268685,254568,11073,71931,11875,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.47,0.7191136735615594,0.49343874205445426,0.7630313037456324,0.5245764381402679,0.1270911390592559,0.20461050811641532,0.16563845735500998,255988,9653,73155,10651,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.48,0.7191136735615594,0.49343874205445426,0.7632545135599962,0.5306413031096936,0.11117342433715963,0.1838325243676256,0.15665944768263568,257400,8241,74489,9317,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.49,0.7191136735615594,0.49343874205445426,0.7630284420813457,0.5340621797061839,0.09326301219483092,0.15879562377464673,0.14407550394532628,258822,6819,75990,7816,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.5,0.7191136735615594,0.49343874205445426,0.763005548767052,0.5377164213256045,0.08412285516550128,0.14548531217433475,0.13774820987791173,259580,6061,76756,7050,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.51,0.7191136735615594,0.49343874205445426,0.7629569004741777,0.5424676686473261,0.07407584182516765,0.1303517060367454,0.1304234044434429,260405,5236,77598,6208,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.52,0.7191136735615594,0.49343874205445426,0.7628824972027232,0.5484631147540984,0.06387370832637282,0.11442190539298464,0.12252697750590115,261234,4407,78453,5353,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.53,0.7191136735615594,0.49343874205445426,0.7629168371741637,0.5562074630368458,0.056559196238932775,0.10267741096958669,0.11715219981504608,261859,3782,79066,4740,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.54,0.7191136735615594,0.49343874205445426,0.7625419591526039,0.5612683360497851,0.04519962771161969,0.08366186295621446,0.10564891781975896,262680,2961,80018,3788,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.55,0.7191136735615594,0.49343874205445426,0.7623473659811073,0.5704735376044568,0.03665608667637162,0.0688858741352827,0.0968808161337427,263328,2313,80734,3072,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.56,0.7191136735615594,0.49343874205445426,0.7620039662667014,0.57104736490994,0.0306421974560294,0.05816336930795103,0.08857266364205614,263712,1929,81238,2568,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.57,0.7191136735615594,0.49343874205445426,0.7615976099379878,0.572938068682125,0.023291888408944465,0.044763968674394874,0.07741253087545187,264186,1455,81854,1952,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.58,0.7191136735615594,0.49343874205445426,0.7610825103663789,0.5778869778869778,0.014032408180798511,0.027399494414091168,0.06059723387636153,264782,859,82630,1176,hist_gradient_boosting,27.134213800003636
HistGradientBoosting,0.59,0.7191136735615594,0.49343874205445426,0.7608163755877143,0.5945945945945946,0.008400353196668497,0.016566654900576537,0.04844681440174146,265161,480,83102,704,hist_gradient_boosting,27.134213800003636
